Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
32.39,42.85,17.36,12.14,37,14,29
47.13,52.9,33.47,8.34,43,18,45
56.65,38.03,48.49,31.88,49,13,43
21.41,25.92,12.71,11.84,19,17,16
45.33,62.56,31.46,11.37,45,17,50
33.44,42.31,16.57,11.48,43,15,19
35.31,37.72,14.6,11.72,24,10,19
21.25,30.45,15.46,11.39,40,14,17
43.89,43.54,25.53,11.82,35,24,20
46.88,40.98,38.45,18.69,43,31,25
47.23,48.42,25.48,13.26,39,13,18
40.57,41.2,21.39,14.58,35,18,24
53.45,57.86,18.11,7.6,30,19,41
45.69,41.18,14.14,8.59,26,21,20
40.02,50.88,16.38,12.09,27,14,41
40.27,53.89,28.33,10.27,30,21,45
33.8,33.91,31.84,23.19,39,23,38
46.73,52.82,32.58,16.71,44,28,41
33.42,38.37,14.5,13.3,32,11,19
35.34,38.55,30.69,13.99,31,14,28
37.27,40.18,35.35,17.19,42,34,36
20.78,30.09,10.31,14.22,21,14,14
25.29,33.29,19.44,12.34,35,11,22
36.46,38.61,29.21,15.62,44,17,31
51.53,52.43,24.24,8.47,32,22,45
48.48,55.07,20.84,7.95,30,14,28
37.4,28.83,27.92,10.56,31,44,23
26.45,32.11,22.15,18.07,38,18,28
41.22,26.6,26.56,15.97,42,43,19
43.94,40.48,11.87,15.57,21,15,24
38.7,42.37,26.27,8.46,37,24,34
35.83,39.22,10.99,11.59,25,14,19
25.34,33.42,12.21,19.4,20,12,23
32.03,35.49,22.97,10.07,31,25,15
40.22,43.45,26.05,7.22,44,26,12
28.54,28.8,20.43,18.34,33,14,22
38.79,54.36,18.37,5.57,38,12,32
32.99,36.59,23.21,10.92,38,18,28
39.09,41.18,23.94,15.48,35,16,24
35.27,35.62,20,9.66,37,8,17
50.05,37.82,12.66,17.67,19,15,21
44.65,42.21,25.15,11.59,33,26,33
32.93,39.23,23.27,11,40,16,20
43.3,41.13,20.86,9.29,32,24,23
51.67,48.57,20.81,7.83,28,13,19
20,15,25,19,30,22,25
33.41,38.34,19.24,10.39,33,22,20
30.43,40.76,23.09,9.29,39,18,36
48.68,47.91,31.63,8.72,40,36,18
41.4,50.49,32.85,9.96,42,13,39
42.08,44.28,26.94,9.99,44,20,37
38.43,51.69,23.1,10.34,39,20,40
33.25,40.89,16.5,11.12,37,15,19
32.11,46.13,24.09,12.75,45,24,18
