Image with Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
47.73,62.2,33.9,13.14,40,25,50
53.39,57.62,33.85,4.89,31,35,44
50.8,50.64,33.79,5.32,35,33,41
61.23,63.01,41.01,8.85,55,35,44
58.42,61.68,38.39,9.4,45,14,30
48.48,53,31.66,15.96,41,10,23
45.78,47.06,12.77,3.1,29,23,30
49.78,60.71,25.9,3.8,38,22,38
52.56,55.74,21.23,3.84,29,29,7
59.01,61.31,42.84,13.05,50,41,52
35.6,46.91,34.58,16.54,43,25,46
47.77,59.75,45.46,14.27,42,33,36
60.9,64.55,43.47,25.68,49,40,30
53.6,52.49,43.28,21.6,54,52,43
44.88,50.58,23.71,3.05,33,13,43
48.8,51.94,37.18,15.74,37,8,36
55.96,10.76,19.41,3.92,28,30,12
40.84,50.71,18.03,1.5,27,13,27
39.49,56.61,38.2,8.16,47,19,45
50.71,51.02,34.1,6.6,45,21,36
32.98,50.67,18.79,3.32,32,9,36
47.98,50.63,28.32,5.42,26,10,36
45.19,55.25,32.55,4.71,42,22,59
41.63,50.49,31.99,14.39,35,13,45
41.48,41.78,27.77,13.96,31,29,39
42.26,52.56,29.43,3.1,41,12,35
33.43,46.07,25.01,2.53,35,8,24
40.19,56.96,27.05,8.74,43,28,47
23.38,44.4,15.54,3.64,27,14,31
40.77,51.03,36.28,13.7,38,37,41
38.91,47.95,24.14,4.08,40,16,27
58.64,56.33,30.55,9.39,42,39,48
43.74,43.33,27.04,10.24,34,26,22
36.05,37.06,28.14,10.13,45,26,47
12.5,40.16,18.98,3.47,30,35,39
61.32,51.68,39.52,21.2,28,9,47
35.32,50.53,22.26,11.22,29,23,32
32.93,33.44,33.3,12.02,44,12,37
19.17,51.14,29.3,6.75,37,9,29
61.19,29.99,15.24,3.2,29,30,32
46.24,57.97,36.25,9.2,44,25,41
20.72,51.02,13.62,3.66,22,19,27
55.32,60.68,45.96,3.56,50,12,52
54.51,59,42.6,20.76,38,25,22
52.98,60.53,26.27,4.04,42,9,41
50.28,47.7,25.37,5.84,38,26,14
55.12,54.36,40.38,21.3,48,32,34
68.09,17.26,43.89,26.37,48,5,13
34.79,42.94,23.12,3.77,35,31,10
50.25,49.49,35.23,6.44,46,33,44
51.61,37.15,37.35,19.64,36,37,24
48.92,54.47,20.5,10.72,20,19,32
60.3,60.02,54.09,28.7,52,12,54
43.83,54.2,30.19,12.9,44,7,24
50.41,58.85,22.1,10.95,46,26,46
42.66,57.71,26.67,4.61,41,11,31
43.32,59.87,38.48,5.86,37,36,51
40.71,52.46,30.58,7.65,40,31,29
59.47,63.15,38.12,12.8,34,16,33
35.91,42.57,27.12,4.55,43,19,28
53.24,33.24,19.92,4.89,19,17,17
10,48.02,20.67,3.68,28,26,7
10,36.83,40.24,23.47,37,19,52
45.76,55.37,40.32,16,46,28,47
51.24,57.61,46.74,16.67,50,23,35
25.81,48.06,29.92,8.81,34,12,36
39.12,50.57,30.68,8.77,42,24,39
54.5,55.89,37.45,20.25,48,16,34
56.25,42.46,40.6,24.84,37,49,17
57.11,56.18,46.38,13.71,47,32,44
56.38,46.68,29.5,24.37,35,41,39
41.14,54.29,20.4,3.38,27,11,19
42.83,63.62,37.15,9.13,43,30,49
42.23,56.71,39.46,7.35,46,28,29
48.67,52.51,46.92,22.25,48,27,51
48.6,56.19,48.05,29.22,56,32,26
46.2,57.31,24.86,7.3,39,26,32
33.14,46.56,26.33,6.33,37,12,30
38.66,41.71,43.73,20.16,46,33,41
47.53,55.81,44.94,31.3,49,41,45
23.68,40.47,16.81,5.15,30,13,37
56.04,57.67,31.05,3.73,29,16,43
49.79,63.35,32.25,20.25,37,31,24
31.9,54.56,27.65,4.43,29,9,30
38.25,48.36,25.86,5.09,34,35,44
60.98,49.69,34.53,4.01,43,13,38
48.75,52.41,21.53,4.82,30,24,10
34.6,46.09,24.32,4.97,39,24,30
45.7,37.25,24.8,2.85,34,24,46
38.85,60.57,37.48,13.04,33,9,34
40.47,50.52,23.23,4.44,37,14,34
49.86,47.22,30.58,14.81,42,38,14
44.54,56.04,36.25,15.8,52,27,40
50.45,49.96,38.17,6.92,38,22,54
38.33,55.61,29.16,3.39,44,23,48
49.6,55.5,36.43,19.35,42,40,15
48.52,57.87,39.19,24.56,55,38,36
35.55,59.5,34.68,13.05,46,25,48
51.73,55.75,26.4,9.82,37,29,33
56.78,57.1,33.55,5.2,42,17,47
54.6,46.6,26.92,11.33,41,41,12
45.74,50.38,13.17,5.34,34,29,41
52.15,51.53,25.99,6.54,34,36,17
49.08,61.09,34.07,7.06,39,39,47
37.02,53.71,23.82,3.84,46,11,12
53.55,57.87,40.19,20.6,50,42,37
42.8,47.65,16.66,4.64,21,13,40
